"AEROLINEAS MAS, S.A.",MAF
"AEROLINEAS MESOAMERICANAS, S.A. DE C.V.",MSO
"AEROLINEAS MEXICANAS J.S., S.A. DE C.V.",LMX
"AEROLINEAS NACIONALES ALBATROS, S.A. DE C.V.",BTS
"AEROLINEAS PACIFICO ATLANTICO, S.A. (APAIR)",APP
"AEROLINEAS PRIMORDIALES, S A DE C.V.",APR
"AEROLINEAS REGIONALES, S.A. DE C.V.",RCQ
"AEROLINEAS SANTO DOMINGO, S.A.",SDO
"AEROLINEAS SOL, S.A. DE C.V.",SOD
AEROLINEAS SOSA S.A.,NSO
"AEROLINEAS TURISTICAS DEL CARIBE, S.A. DE C.V.",TTB
AEROLINEAS URUGUAYAS S.A.,AUY
AEROLINK UGANDA LIMITED,XAU
"AEROLITORAL, S.A. DE C.V.",SLI
AEROLOGIC,LDL
"AEROLOGIC GMBH, LEIPZIG",BOX
"AEROMAAN, S.A. DE C.V.",ERM
"AEROMAGAR, S.A. DE C.V.",MGS
AEROMAS,MSM
"AEROMAX, S.L.",AXP
"AEROMEDICA, S.A. DE C.V.",DIC
AEROMEDICARE LTD,AMQ
AEROMEGA LTD,OMG
AEROMET SERVICIOS LTDA.,ARS
"AEROMEXHAGA, S.A. DE C.V.",AXH
"AEROMEXPRESS, S.A. DE C.V.",MPX
"AEROMONKY, S.A. DE C.V.",NKY
"AEROMOVER, S.A. DE C.V.",OVE
"AEROMUNDO EJECUTIVO, S.A. DE C.V.",MUN
"AERONAUTIC DE LOS PIRINEOS, S.A.",VSC
"AERONAUTICA CASTELLANA, S.L.",ECL
"AERONAUTICA DEL PRINCIPADO, S.L.",NEO
"AERONAUTICA LA ESPERANZA, S.A. DE C.V.",ESZ
AERONAUTICA MILITARE ITALIANA,IAM
"AERONAUTICA VIENTOS DEL NORTE, S.A. DE C.V.",GEG
"AERONAUTICAL ACADEMY OF EUROPE - ACADEMIA AERONAUTICA DE EVORA, S.A.",EVR
AERONAUTICAL RADIO OF THAILAND LTD,AET
"AERONAUTICAL RADIO, INC. (ARINC)",XAA
AERONAUTICAL TELECOMMUNICATIONS LTD (JAMAICA),XXI
AERONAVE MILITAR ESPANOLA. MINISTERIO DE DEFENSA,AME
AERONAVES DEL NOROESTE,ENW
"AERONAVES TSM, S.A. DE C.V.",VTM
AERONAVIGACIYA LTD,KTN
AERONEXUS CORPORATE PTY LTD,ARN
AERONOR,GCF
"AERONOR, S.A. DE C.V.",ONO
AERONORD-GRUP,NRP
"AERONORTE - TRANSPORTES AEREOS, LDA",RTE
AEROPA S.R.L.,AAU
"AEROPAPA, S.L.",APY
"AEROPARADISE, S.A. DE C.V.",APS
AEROPARTNER A.S.,DFC
AEROPELICAN AIR SERVICES PTY LTD,PEL
AEROPORTUL INTERNATIONAL MARCULESTI,AMM
AEROPOSTAL ALAS DE VENEZUELA,ALV
"AEROPOSTAL CARGO DE MEXICO, S.A. DE C.V.",PCG
AEROPRAKT K.Z.,APK
AEROPRO,APO
"AEROPYCSA, S.A. DE C.V.",PYC
AEROREGIONAL PARAGUAYA S.A.,REP
AEROREPUBLICA,RPB
AEROS LTD (T/A AEROS FLIGHT TRAINING),AOS
"AEROSAAB, S.A. DE C.V.",SBH
"AEROSAFIN, S.A. DE C.V.",FIC
"AEROSAN, S.A. DE C.V.",OSN
AEROSEC,ERK
"AEROSEGOVIA, S.A.",SGV
AEROSERVICE,RSR
"AEROSERVICIO SIPSE, S.A. DE C.V.",PSE
"AEROSERVICIOS CALIFORNIA PACIFICO, S. DE R.L. DE C.V.",PIF
"AEROSERVICIOS CARABOBO, C.A. (ASERCA)",OCA
"AEROSERVICIOS CORPORATIVOS DE SAN LUIS, S.A. DE C.V.",PSL
"AEROSERVICIOS DE ALMERIA 2000, S.L.",AEC
"AEROSERVICIOS DE LA COSTA, S.A. DE C.V.",TAA
"AEROSERVICIOS DE NUEVO LEON, S.A. DE C.V.",NUL
"AEROSERVICIOS DE SAN LUIS, S.A. DE C.V.",SUO
"AEROSERVICIOS DE TLALTENANGO, S.A. DE C.V.",TEG
"AEROSERVICIOS DINAMICOS, S.A. DE C.V.",DMI
"AEROSERVICIOS EJECUTIVOS CORPORATIVOS, S.A. DE C.V.",EJP
"AEROSERVICIOS EJECUTIVOS DEL OCCIDENTE, S.A. DE C.V.",AEO
"AEROSERVICIOS GAMA, S.A. DE C.V.",GMS
"AEROSERVICIOS JET, S.A. DE C.V.",RJS
"AEROSMITH AVIATION (CONCORD, CA)",JPR
AEROSPACE CONSORTIUM LTD,AKQ
AEROSPACE ONE,OAN
"AEROSPECSERVICE, AIRCOMPANY",AOP
AEROSTAN,BSC
AEROSTAR,UAR
AEROSUCRE S.A.,KRE
AEROSUD AVIATION,SYT
"AEROSUN INTERNATIONAL, INC.",ASI
"AEROSUR, COMPANIA BOLIVIANA DE TRANSPORTE AEREO PRIVADO S.A.",RSU
AEROSVIT AIRLINES,AEW
"AEROTAXI ATLANTICO, S.A. DE C.V.",TLN
AEROTAXI CASANARE LTDA.,ATK
"AEROTAXI DEL CABO, S.A. DE C.V.",CBO
"AEROTAXI DVZ, S.A. DE C.V.",DVZ
"AEROTAXI GRUPO TAMPICO, S. A. DE C.V.",GTP
"AEROTAXI LOS VALLES, S.L.",VAD
"AEROTAXI MEXICANO, S.A. DE C.V.",MXO
AEROTAXI S.R.O.,ITE
"AEROTAXI VILLA RICA, S.A. DE C.V.",VRI
"AEROTAXIS ALFE, S.A. DE C.V.",TXF
"AEROTAXIS DE AGUASCALIENTES, S.A. DE C.V.",GUA
"AEROTAXIS DE LA BAHIA, S.A. DE C.V.",BHC
AEROTAXIS DEL MEDITERRANEO S.L.,RYJ
"AEROTAXIS DEL NOROESTE, S.A. DE C.V.",TXD
"AEROTAXIS DOSMIL, S.A. DE C.V.",DML
"AEROTAXIS GUAMUCHIL, S.A. DE C.V.",GMM
"AEROTAXIS METROPOLITANOS, S.A. DE C.V.",MTB
"AEROTAXIS PABA, S.A. DE C.V.",PBC
"AEROTAXIS TUCAN, S.A. DE C.V.",ERA
AEROTEC,AEP
AEROTECNICA S.A.,DUG
"AEROTRANS, JOINT-STOCK COMPANY",CDU
AEROTRANSCARGO,ATG
AEROTRANSCOLOMBIANA DE CARGA LTDA.,TCO
"AEROTRANSPORTACION DE NORTEAMERICA, S.A. DE C.V.",ANM
"AEROTRANSPORTE DE CARGA UNION, S.A. DE C.V.",TNO
AEROTRANSPORTE PETROLERO LTDA.,PET
"AEROTRANSPORTES CORPORATIVOS, S.A. DE C.V.",CRP
"AEROTRANSPORTES HUITZILIN, S.A. DE C.V.",HUT
"AEROTRANSPORTES INTERNACIONALES DE TORREON, S.A. DE C.V.",RRE
"AEROTRANSPORTES MAS DE CARGA, S.A. DE C.V.",MAA
"AEROTRANSPORTES PRIVADOS, S.A. DE C.V.*",PVA
"AEROTRANSPORTES RAFILHER, S.A. DE C.V.",RFD
"AEROTRANSPORTES ZODIAC, S.A. DE C.V.",ETZ
"AEROTRESALIA, S.A. DE C.V.",OTS
"AEROTROPICAL, S.A. DE C.V.",TOC
"AEROTUCAN, S.A. DE C.V.",RTU
"AEROVALLARTA, S.A. DE C.V.",ALL
"AEROVARADERO, S.A.",AVY
"AEROVEGA, S.A. DE C.V.",VEG
"AEROVENA, S.A. DE C.V.",VNS
